Time,Show,Episode,Youtube Video ID
12:00am,They Went That-A-Way & That-A-Way (1978),,
12:30am,,,
1:00am,,,
1:30am,,,
2:00am,Fame,,
2:30am,,,
3:00am,,,
3:30am,,,
4:00am,,,
4:30am,,,
5:00am,,,
5:30am,,,
6:00am,Wonder Why?,,
6:30am,OWL/TV,,
7:00am,Wind in the Willows,,
7:15am,Storybook World,,
7:30am,Ballooner Landing,,
8:00am,Size Small,,
8:30am,Romper Room and Friends,,
9:00am,Maya The Bee,,
9:30am,Postman Pat,,
9:45am,The Friendly Giant (M-T),,
10:00am,Poetree and Friends,,
10:30am,Size Small,,
11:00am,Take Part,,
11:30am,Puttnam's Prairie Emporium,,
12:00pm,Hands Up! Hands On!,,
12:30pm,The Brownstone Kids,,
1:00pm,Camp Cariboo,,
1:30pm,Lamb Chop's Play-Along,,
2:00pm,Eric's World,,
2:30pm,Deke Wilson's Mini-Mysteries,,
3:00pm,Alvin & The Chipmunks,,
3:30pm,The Adventures of Sonic the Hedgehog,,
4:00pm,Biker Mice From Mars,,
4:30pm,The Bots Master,,
5:00pm,Mighty Morphin Power Rangers,,
5:30pm,Batman,,
6:00pm,Super Dave Osborne,,
6:30pm,Video & Arcade Top 10,,
7:00pm,Are You Afraid of the Dark?,The Tale of the Thirteenth Floor,
7:30pm,Rocko's Modern Life,,
8:00pm,They Must Be Mad!,(cliff diving; truck racing; ferry boat tugging; sailboarding world championship; young sumo hopefuls; kayak polo; car rally),
8:30pm,Rough Guide,Mexico,
9:00pm,,,
9:30pm,Tarzan,Tarzan and the Karate Warriors,
10:00pm,Swiss Family Robinson,The Curse of the Idol,
10:30pm,Super Dave Osborne,,
11:00pm,Bizarre,,
11:30pm,Maniac Mansion,The Science Fair,
